timestep,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,window,buildProb,runtimeKill,trimmerChance,scenario,averageSize,seed,popsize
0,0,11,2176,2.0,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,6.0,19,1000
0,1,11,2117,2.0,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,6.0,19,1000
0,2,11,2284,2.0,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,7.0,19,1000
0,3,11,1955,2.0,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,10.0,19,1000
0,4,11,1534,2.0,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,15.0,19,1000
0,5,11,1551,2.25,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,18.0,19,1000
0,6,10,1917,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,18.0,19,1000
0,7,10,1674,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,18.0,19,1000
0,8,10,1833,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,18.0,19,1000
0,9,10,1768,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,18.0,19,1000
0,10,10,1723,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,17.0,19,1000
0,11,10,1984,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,17.0,19,1000
0,12,10,1728,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,17.0,19,1000
0,13,10,1683,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,17.0,19,1000
0,14,10,1758,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,17.0,19,1000
0,15,10,1697,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,17.0,19,1000
0,16,10,2160,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,17.0,19,1000
0,17,10,1505,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,17.0,19,1000
0,18,10,1700,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,17.0,19,1000
0,19,10,1727,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,17.0,19,1000
0,20,10,1749,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,17.0,19,1000
0,21,10,1818,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,17.0,19,1000
0,22,10,1508,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,17.0,19,1000
0,23,10,1731,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,17.0,19,1000
0,24,10,2184,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,17.0,19,1000
0,25,10,1840,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,17.0,19,1000
0,26,10,1750,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,17.0,19,1000
0,27,10,1883,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,17.0,19,1000
0,28,10,1847,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,17.0,19,1000
0,29,10,2342,2.5,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,17.0,19,1000
1,0,16,987,1.09214,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,6.0,19,1000
1,1,16,600,1.09214,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,6.0,19,1000
1,2,9,582,1.1875,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,7.0,19,1000
1,3,20,640,1.22014,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,12.0,19,1000
1,4,16,783,1.84661,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,21.0,19,1000
1,5,15,1105,1.85213,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,24.0,19,1000
1,6,12,1149,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,22.0,19,1000
1,7,12,1271,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,22.0,19,1000
1,8,12,1645,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,23.0,19,1000
1,9,12,1750,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,24.0,19,1000
1,10,12,1313,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,23.0,19,1000
1,11,12,1569,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,23.0,19,1000
1,12,12,1666,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,22.0,19,1000
1,13,12,1622,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,22.0,19,1000
1,14,12,1775,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,22.0,19,1000
1,15,12,2370,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,21.0,19,1000
1,16,12,1997,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,21.0,19,1000
1,17,12,1518,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,21.0,19,1000
1,18,12,1979,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,21.0,19,1000
1,19,12,1670,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,21.0,19,1000
1,20,12,1780,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,21.0,19,1000
1,21,12,1962,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,20.0,19,1000
1,22,12,1728,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,21.0,19,1000
1,23,12,1933,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,21.0,19,1000
1,24,12,1925,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,20.0,19,1000
1,25,12,1871,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,21.0,19,1000
1,26,12,1864,1.94933,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,nosurv,21.0,19,1000
