file,targets,destoryed,wheredestroyed,missionsuccess,decisionTimeAvg,decisionTimeVar,seed,scenario
csv,6,0,39,0,43053.6,2.19546e+09,22,nosurv
csv,3,0,39,0,36106.6,1.43676e+09,19,nosurv
csv,4,0,39,0,40990.2,1.86511e+09,25,nosurv
csv,5,0,39,0,41680.3,1.83349e+09,23,nosurv
csv,10,0,39,1,39215.4,1.67535e+09,17,nosurv
csv,3,0,39,0,40747,1.8696e+09,21,nosurv
csv,5,0,39,0,38827.2,1.61026e+09,18,nosurv
csv,10,0,39,1,39613.9,1.69819e+09,20,nosurv
csv,3,0,39,0,45104.3,2.23879e+09,26,nosurv
csv,11,0,39,1,41514.6,2.03665e+09,16,nosurv
