file,targets,destoryed,wheredestroyed,missionsuccess,decisionTimeAvg,decisionTimeVar,seed,scenario
csv,12,0,39,1,1.70545e+06,3.0587e+12,20,pmc
csv,5,0,39,0,1.67972e+06,2.97117e+12,21,pmc
csv,9,0,39,0,1.67621e+06,2.96549e+12,18,pmc
csv,6,0,39,0,1.68205e+06,3.03062e+12,19,pmc
csv,11,0,39,1,1.46915e+06,2.20887e+12,17,pmc
csv,7,0,39,0,1.42884e+06,2.07355e+12,25,pmc
csv,8,0,39,0,1.42922e+06,2.07326e+12,23,pmc
csv,6,0,39,0,1.68896e+06,2.97741e+12,22,pmc
csv,12,0,39,1,1.40887e+06,2.01089e+12,24,pmc
csv,12,0,39,1,1.46301e+06,2.16827e+12,16,pmc
