"timestep","planner","seed","seconds","utility"
0,pmc,20,1087.237,3.6875125727499998
1,pmc,20,916.625,4.005760988226695
2,pmc,20,925.671,3.953887934294867
3,pmc,20,909.572,4.152372005106513
4,pmc,20,2092.855,4.618195657587225
5,pmc,20,961.578,4.55063529341053
6,pmc,20,1039.023,4.7568904844650515
7,pmc,20,1086.317,5.0127085332861965
8,pmc,20,1105.927,5.39829641220954
9,pmc,20,1022.41,5.825940609499739
10,pmc,20,1019.05,5.743582708714267
11,pmc,20,1054.594,5.279106848333376
12,pmc,20,1095.452,5.220968669714266
13,pmc,20,1095.603,5.266588759766348
14,pmc,20,1089.752,5.432504771332581
15,pmc,20,1212.233,5.714281055005528
16,pmc,20,1138.683,5.558895391324208
17,pmc,20,1307.257,5.649830847808097
18,pmc,20,1118.394,5.947135385798582
19,pmc,20,1172.259,5.70853208714493
20,pmc,20,1104.171,5.443549114683911
21,pmc,20,1084.725,4.906005492879411
22,pmc,20,1130.437,5.052922521126754
23,pmc,20,1028.861,5.120443104203451
24,pmc,20,1120.147,4.936708558994445
25,pmc,20,1050.143,4.673849567236786
26,pmc,20,1004.047,4.74935218667031
27,pmc,20,1067.88,4.675896408134162
28,pmc,20,1007.005,4.376769906840417
29,pmc,20,1052.737,4.454268779165873
30,pmc,20,1123.403,4.508829350561535
31,pmc,20,995.682,4.638747796199453
32,pmc,20,1075.555,4.521089625064548
33,pmc,20,1177.093,4.131818238774637
34,pmc,20,1158.698,3.777211787698615
35,pmc,20,1091.58,3.8386017843148235
36,pmc,20,908.468,3.903133750445155
37,pmc,20,985.066,3.5077064802672653
38,pmc,20,984.842,3.2223733453749976
39,pmc,20,1032.451,1.1832498835625
0,pmc,21,802.644,2.8124875402499994
1,pmc,21,822.775,3.367838602474042
2,pmc,21,902.073,3.4301303723335077
3,pmc,21,951.449,3.9123786008689425
4,pmc,21,2111.809,3.782726741828702
5,pmc,21,1020.051,3.7772039490239733
6,pmc,21,1000.028,3.967792430397992
7,pmc,21,1154.01,4.45067396407331
8,pmc,21,1069.599,4.7488312558481915
9,pmc,21,985.483,4.800429773533285
10,pmc,21,1101.727,5.079199458633735
11,pmc,21,1036.702,4.857379721215593
12,pmc,21,1103.891,4.8750578630782115
13,pmc,21,1117.104,4.951995243913129
14,pmc,21,1098.356,5.040266525566378
15,pmc,21,1220.725,4.992329491469507
16,pmc,21,1030.28,4.765388269052693
17,pmc,21,1140.227,4.556594618588191
18,pmc,21,1080.953,4.369174038090048
19,pmc,21,1163.49,4.201894669810808
20,pmc,21,1089.413,4.329466493421678
21,pmc,21,1059.994,4.404915445856247
22,pmc,21,959.833,4.206667322942756
23,pmc,21,1001.723,3.8637216836328014
24,pmc,21,1057.4,3.963326941879819
25,pmc,21,975.868,4.099999765570964
26,pmc,21,999.515,3.854148147170088
27,pmc,21,1037.907,3.9351788642081043
28,pmc,21,1037.724,3.687004758890177
29,pmc,21,948.035,3.410708778335396
30,pmc,21,980.35,3.452182698074472
31,pmc,21,1148.821,3.560023011344056
32,pmc,21,953.15,3.5586250791671166
33,pmc,21,982.7,3.3494804976821926
34,pmc,21,960.973,3.461809362032131
35,pmc,21,1114.298,3.394109685826788
36,pmc,21,1015.931,3.4954815267745394
37,pmc,21,994.108,3.6079711572806707
38,pmc,21,1035.922,3.683567740711645
39,pmc,21,1001.653,6.360357341515673
0,pmc,18,1118.389,3.115820180726955
1,pmc,18,802.065,3.248062815577224
2,pmc,18,904.999,3.5988055533491066
3,pmc,18,873.658,3.815211418366947
4,pmc,18,918.901,3.8946923076469133
5,pmc,18,1445.157,3.936724864820967
