timestep,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,window,buildProb,runtimeKill,trimmerChance,scenario,averageSize,seed,popsize
0,0,15,28107,1.50198,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,7.0,16,10000
0,1,15,20043,1.50198,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,6.0,16,10000
0,2,13,21162,1.77229,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,6.0,16,10000
0,3,15,18992,2.03463,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,7.0,16,10000
0,4,16,16530,2.32986,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,10.0,16,10000
0,5,15,15812,2.42155,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,18.0,16,10000
0,6,17,13921,2.49306,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,24.0,16,10000
0,7,17,9101,2.58552,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,25.0,16,10000
0,8,17,10989,2.58552,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,25.0,16,10000
0,9,17,9777,2.58552,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,26.0,16,10000
0,10,17,9742,2.58552,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,27.0,16,10000
0,11,17,11931,2.58552,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,27.0,16,10000
0,12,17,10643,2.58552,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,28.0,16,10000
0,13,17,9868,2.58552,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,29.0,16,10000
0,14,17,10216,2.59066,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,29.0,16,10000
0,15,17,10080,2.59066,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,29.0,16,10000
0,16,17,12207,2.59066,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,29.0,16,10000
0,17,17,16107,2.59066,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,29.0,16,10000
0,18,17,14903,2.59066,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,30.0,16,10000
0,19,17,10681,2.59066,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,30.0,16,10000
0,20,17,10925,2.59066,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,30.0,16,10000
0,21,17,10596,2.59066,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,30.0,16,10000
0,22,17,10163,2.59066,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,29.0,16,10000
0,23,17,14518,2.59066,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,29.0,16,10000
0,24,17,11111,2.59066,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,29.0,16,10000
0,25,17,10567,2.59066,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,30.0,16,10000
0,26,17,12698,2.59066,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,29.0,16,10000
0,27,17,10457,2.59066,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,29.0,16,10000
0,28,17,10968,2.59066,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,29.0,16,10000
0,29,17,11229,2.59066,-1.0,-1.0,repertoire,repertoire,10000,0.9,0.75,0.1,env,29.0,16,10000
