timestep,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,window,buildProb,runtimeKill,trimmerChance,scenario,averageSize,seed,popsize
0,0,4,13399,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,210.0,25,10000
0,1,4,12480,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,197.0,25,10000
0,2,4,12900,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,188.0,25,10000
0,3,4,12423,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,180.0,25,10000
0,4,4,12208,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,169.0,25,10000
0,5,4,14300,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,159.0,25,10000
0,6,4,12493,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,150.0,25,10000
0,7,4,13373,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,144.0,25,10000
0,8,18,13629,0.810185,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,137.0,25,10000
0,9,18,13304,0.810185,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,130.0,25,10000
0,10,18,14118,0.810185,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,122.0,25,10000
0,11,18,14648,0.810185,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,114.0,25,10000
0,12,18,15505,0.810185,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,104.0,25,10000
0,13,18,13857,0.810185,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,99.0,25,10000
0,14,18,14669,0.810185,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,92.0,25,10000
0,15,16,14204,2.1412,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,81.0,25,10000
0,16,17,15172,2.36111,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,63.0,25,10000
0,17,17,12270,2.75,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,40.0,25,10000
0,18,17,13706,2.75,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,30.0,25,10000
0,19,17,11686,2.75,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,28.0,25,10000
0,20,17,12445,2.75,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,28.0,25,10000
0,21,17,11152,2.75,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,29.0,25,10000
0,22,17,9278,2.75,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,29.0,25,10000
0,23,17,9326,2.75,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,30.0,25,10000
0,24,18,10275,2.85417,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,30.0,25,10000
0,25,18,10688,2.85417,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,30.0,25,10000
0,26,17,10357,2.875,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,30.0,25,10000
0,27,17,9375,2.875,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,30.0,25,10000
0,28,17,9609,2.875,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,30.0,25,10000
0,29,17,10350,2.875,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,30.0,25,10000
1,0,4,7717,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,210.0,25,10000
1,1,4,6102,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,197.0,25,10000
1,2,15,5996,0.21828,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,188.0,25,10000
1,3,16,5896,0.261936,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,179.0,25,10000
1,4,15,5936,0.873119,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,169.0,25,10000
1,5,15,7071,0.873119,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,157.0,25,10000
1,6,16,6388,1.41758,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,143.0,25,10000
1,7,16,6192,1.41758,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,scratch,122.0,25,10000
