timestep,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,window,buildProb,runtimeKill,trimmerChance,scenario,averageSize
0,0,4,15595,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,210.0
0,1,4,13604,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,197.0
0,2,4,13187,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,188.0
0,3,4,14442,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,180.0
0,4,4,13883,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,169.0
0,5,4,16508,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,159.0
0,6,4,13980,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,150.0
0,7,4,14953,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,144.0
0,8,18,14815,0.729167,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,137.0
0,9,18,14427,0.729167,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,130.0
0,10,18,15646,0.729167,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,122.0
0,11,18,15402,0.729167,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,114.0
0,12,18,15481,0.729167,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,104.0
0,13,18,14645,0.729167,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,99.0
0,14,18,15947,0.729167,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,92.0
0,15,16,15438,1.95023,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,81.0
0,16,15,15688,2.38169,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,63.0
0,17,15,13115,2.38169,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,39.0
0,18,15,10218,2.4349,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,29.0
0,19,16,9709,2.5306,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,27.0
0,20,15,9495,2.69419,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,26.0
0,21,15,11370,2.69419,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,25.0
0,22,15,10951,2.69419,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,25.0
0,23,15,11922,2.69419,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,26.0
0,24,15,10819,2.8099,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,26.0
0,25,16,12170,2.85417,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,26.0
0,26,16,11522,2.85417,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,26.0
0,27,16,12139,2.85417,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,26.0
0,28,17,11307,2.85938,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,26.0
0,29,17,11386,2.85938,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,26.0
1,0,4,8606,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,210.0
1,1,4,6869,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,197.0
1,2,15,6457,0.332031,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,188.0
1,3,16,6151,0.378762,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,179.0
1,4,15,6306,1.03299,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,169.0
1,5,15,7354,1.03299,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,157.0
1,6,16,6490,2.09877,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,143.0
1,7,16,6785,2.09877,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,122.0
1,8,16,6611,3.31211,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,92.0
1,9,16,5719,3.31211,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,53.0
1,10,15,6744,3.45534,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,29.0
1,11,16,8121,3.55208,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,26.0
1,12,15,9312,3.9375,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,26.0
1,13,15,9386,3.9375,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,26.0
1,14,15,10519,3.9375,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,26.0
1,15,15,9786,3.9375,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,27.0
1,16,15,10708,3.9375,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,27.0
1,17,15,11230,4.125,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,26.0
1,18,15,10035,4.125,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,26.0
1,19,15,10887,4.125,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,27.0
1,20,15,10824,4.125,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,27.0
1,21,15,11224,4.125,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,27.0
1,22,15,12132,4.125,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,27.0
1,23,15,12329,4.125,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,27.0
1,24,15,11934,4.125,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,27.0
1,25,15,12511,4.125,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,28.0
1,26,15,11668,4.125,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,28.0
1,27,15,12099,4.125,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,28.0
1,28,15,11686,4.125,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,28.0
1,29,15,10530,4.125,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,28.0
2,0,4,7843,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,210.0
2,1,4,6584,0.0,-1.0,-1.0,scratch,scratch,10000,0.0,0.75,0.1,requestsfourserv,197.0
